,GP,circuit,location,country,lap,position,lap_time_ms,code,name,lap_time
37,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,38,1,79726.0,VER,Max Verstappen,00:01:19.726000
38,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,39,1,79579.0,VER,Max Verstappen,00:01:19.579000
39,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,40,1,78935.0,VER,Max Verstappen,00:01:18.935000
40,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,41,1,78786.0,VER,Max Verstappen,00:01:18.786000
41,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,42,1,78680.0,VER,Max Verstappen,00:01:18.680000
42,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,43,1,78529.0,VER,Max Verstappen,00:01:18.529000
43,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,44,1,78403.0,VER,Max Verstappen,00:01:18.403000
44,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,45,1,78284.0,VER,Max Verstappen,00:01:18.284000
45,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,46,1,78011.0,VER,Max Verstappen,00:01:18.011000
46,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,47,1,78161.0,VER,Max Verstappen,00:01:18.161000
47,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,48,1,78087.0,VER,Max Verstappen,00:01:18.087000
48,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,49,1,78171.0,VER,Max Verstappen,00:01:18.171000
49,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,50,1,78576.0,VER,Max Verstappen,00:01:18.576000
50,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,51,1,78158.0,VER,Max Verstappen,00:01:18.158000
51,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,52,1,77963.0,VER,Max Verstappen,00:01:17.963000
52,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,53,1,77937.0,VER,Max Verstappen,00:01:17.937000
53,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,54,1,77766.0,VER,Max Verstappen,00:01:17.766000
54,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,55,1,77803.0,VER,Max Verstappen,00:01:17.803000
55,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,56,1,77909.0,VER,Max Verstappen,00:01:17.909000
56,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,57,1,78396.0,VER,Max Verstappen,00:01:18.396000
57,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,58,1,78032.0,VER,Max Verstappen,00:01:18.032000
58,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,59,1,77993.0,VER,Max Verstappen,00:01:17.993000
59,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,60,1,77524.0,VER,Max Verstappen,00:01:17.524000
60,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,61,1,78261.0,VER,Max Verstappen,00:01:18.261000
61,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,62,1,77526.0,VER,Max Verstappen,00:01:17.526000
62,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,63,1,77972.0,VER,Max Verstappen,00:01:17.972000
63,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,1,1,118245.0,VER,Max Verstappen,00:01:58.245000
64,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,2,1,142406.0,VER,Max Verstappen,00:02:22.406000
65,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,3,1,158001.0,VER,Max Verstappen,00:02:38.001000
66,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,4,1,104343.0,VER,Max Verstappen,00:01:44.343000
67,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,5,1,104629.0,VER,Max Verstappen,00:01:44.629000
68,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,6,1,95982.0,VER,Max Verstappen,00:01:35.982000
69,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,7,1,95902.0,VER,Max Verstappen,00:01:35.902000
70,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,8,1,96032.0,VER,Max Verstappen,00:01:36.032000
71,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,9,1,96012.0,VER,Max Verstappen,00:01:36.012000
72,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,10,1,96175.0,VER,Max Verstappen,00:01:36.175000
73,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,11,1,96179.0,VER,Max Verstappen,00:01:36.179000
74,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,12,1,96592.0,VER,Max Verstappen,00:01:36.592000
75,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,13,1,96291.0,VER,Max Verstappen,00:01:36.291000
76,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,14,1,96880.0,VER,Max Verstappen,00:01:36.880000
77,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,15,1,96924.0,VER,Max Verstappen,00:01:36.924000
78,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,16,1,97033.0,VER,Max Verstappen,00:01:37.033000
79,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,17,1,123920.0,VER,Max Verstappen,00:02:03.920000
80,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,18,2,115532.0,VER,Max Verstappen,00:01:55.532000
81,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,19,2,94421.0,VER,Max Verstappen,00:01:34.421000
82,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,20,2,94870.0,VER,Max Verstappen,00:01:34.870000
83,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,21,2,94829.0,VER,Max Verstappen,00:01:34.829000
84,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,22,2,95159.0,VER,Max Verstappen,00:01:35.159000
85,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,23,2,95122.0,VER,Max Verstappen,00:01:35.122000
86,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,24,2,95207.0,VER,Max Verstappen,00:01:35.207000
87,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,25,2,95044.0,VER,Max Verstappen,00:01:35.044000
88,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,26,2,94958.0,VER,Max Verstappen,00:01:34.958000
89,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,27,2,95118.0,VER,Max Verstappen,00:01:35.118000
90,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,28,1,95126.0,VER,Max Verstappen,00:01:35.126000
91,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,29,1,95282.0,VER,Max Verstappen,00:01:35.282000
92,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,30,1,95476.0,VER,Max Verstappen,00:01:35.476000
93,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,31,1,95054.0,VER,Max Verstappen,00:01:35.054000
94,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,32,1,95378.0,VER,Max Verstappen,00:01:35.378000
95,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,33,1,95286.0,VER,Max Verstappen,00:01:35.286000
96,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,34,1,95638.0,VER,Max Verstappen,00:01:35.638000
97,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,35,1,95593.0,VER,Max Verstappen,00:01:35.593000
98,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,36,1,95721.0,VER,Max Verstappen,00:01:35.721000
99,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,37,1,95620.0,VER,Max Verstappen,00:01:35.620000
100,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,38,1,95921.0,VER,Max Verstappen,00:01:35.921000
101,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,39,1,121676.0,VER,Max Verstappen,00:02:01.676000
102,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,40,2,113437.0,VER,Max Verstappen,00:01:53.437000
103,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,41,2,93228.0,VER,Max Verstappen,00:01:33.228000
104,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,42,2,93450.0,VER,Max Verstappen,00:01:33.450000
105,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,43,2,93231.0,VER,Max Verstappen,00:01:33.231000
106,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,44,2,93594.0,VER,Max Verstappen,00:01:33.594000
107,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,45,2,94056.0,VER,Max Verstappen,00:01:34.056000
108,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,46,2,93894.0,VER,Max Verstappen,00:01:33.894000
